WONum,TYPEID,woStatus,BOMITEMPART,PARTDESCRIPTION,BOMITEMDESCRIPTION,WOITEMQTY,WOITEMTOTAL,ITEMNAME,qtyOrdered,dateScheduledFulfillment,invQTY,CSTMFLD,BOMITEMID,
22-0215:018,10,Entered,S-WF-GR50-6X9-07875,WF BEAM 6.0 x 9.0 x 78.75,Create S-WF-GR50-6X9-07875,1.0000000000000,1.000000000,Create S-WF-GR50-6X9-07875,1,2022-07-08 08:40:41.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-WF-GR50-6X9-07875""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49101,
22-0216-1:024,10,Entered,S-WF-GR50-6X9-07875,WF BEAM 6.0 x 9.0 x 78.75,Create S-WF-GR50-6X9-07875,1.0000000000000,1.000000000,Create S-WF-GR50-6X9-07875,1,2022-07-06 13:56:15.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-WF-GR50-6X9-07875""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49390,
22-0215:050,10,Entered,S-WF-GR50-6X15-09600,WF BEAM 6.0 x 15.0 x 96.0,Create S-WF-GR50-6X15-09600,1.0000000000000,1.000000000,Create S-WF-GR50-6X15-09600,1,2022-07-08 08:40:41.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-WF-GR50-6X15-09600""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49194,
22-0215:055,10,Entered,S-WF-GR50-6X15-09600,WF BEAM 6.0 x 15.0 x 96.0,Create S-WF-GR50-6X15-09600,1.0000000000000,3.000000000,Create S-WF-GR50-6X15-09600,3,2022-07-08 08:40:41.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-WF-GR50-6X15-09600""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49208,
22-0215:076,10,Entered,S-WF-GR50-6X15-09600,WF BEAM 6.0 x 15.0 x 96.0,Create S-WF-GR50-6X15-09600,1.0000000000000,15.000000000,Create S-WF-GR50-6X15-09600,15,2022-07-08 08:40:41.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-WF-GR50-6X15-09600""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49271,
22-0216-1:115,10,Entered,S-WF-GR50-6X15-09600,WF BEAM 6.0 x 15.0 x 96.0,Create S-WF-GR50-6X15-09600,1.0000000000000,19.000000000,Create S-WF-GR50-6X15-09600,19,2022-07-06 13:56:15.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-WF-GR50-6X15-09600""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49663,
22-0216-1:113,10,Entered,S-WF-GR50-4X13-09600,WF BEAM 4.0 x 13.0 x 96.0,Create S-WF-GR50-4X13-09600,1.0000000000000,1.000000000,Create S-WF-GR50-4X13-09600,1,2022-07-06 13:56:15.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-WF-GR50-4X13-09600""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49657,
22-0215:014,10,Entered,S-TU-A513-G11-150-150-14006,TUBE 11GA x 1.5 x 1.5 x 140.06,Create S-TU-A513-G11-150-150-14006,1.0000000000000,4.000000000,Create S-TU-A513-G11-150-150-14006,4,2022-07-08 08:40:41.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-TU-A513-G11-150-150-14006""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49088,
22-0216-1:008,10,Entered,S-TU-A513-G11-150-150-14006,TUBE 11GA x 1.5 x 1.5 x 140.06,Create S-TU-A513-G11-150-150-14006,1.0000000000000,4.000000000,Create S-TU-A513-G11-150-150-14006,4,2022-07-06 13:56:15.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-TU-A513-G11-150-150-14006""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49341,
22-0215:011,10,Entered,S-TU-A513-G11-150-150-06900,TUBE 11GA x 1.5 x 1.5 x 69.0,Create S-TU-A513-G11-150-150-06900,1.0000000000000,2.000000000,Create S-TU-A513-G11-150-150-06900,2,2022-07-08 08:40:41.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-TU-A513-G11-150-150-06900""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49080,
22-0215:015,10,Entered,S-TU-A513-G11-150-150-06900,TUBE 11GA x 1.5 x 1.5 x 69.0,Create S-TU-A513-G11-150-150-06900,1.0000000000000,4.000000000,Create S-TU-A513-G11-150-150-06900,4,2022-07-08 08:40:41.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-TU-A513-G11-150-150-06900""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49091,
22-0216-1:005,10,Entered,S-TU-A513-G11-150-150-06900,TUBE 11GA x 1.5 x 1.5 x 69.0,Create S-TU-A513-G11-150-150-06900,1.0000000000000,2.000000000,Create S-TU-A513-G11-150-150-06900,2,2022-07-06 13:56:15.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-TU-A513-G11-150-150-06900""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49333,
22-0216-1:009,10,Entered,S-TU-A513-G11-150-150-06900,TUBE 11GA x 1.5 x 1.5 x 69.0,Create S-TU-A513-G11-150-150-06900,1.0000000000000,4.000000000,Create S-TU-A513-G11-150-150-06900,4,2022-07-06 13:56:15.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-TU-A513-G11-150-150-06900""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49344,
22-0615:004,10,Started,S-TU-A513-G11-150-150-03700,TUBE 11GA x 1.5 x 1.5 x 37.0,Create S-TU-A513-G11-150-150-03700,1.0000000000000,2.000000000,Create S-TU-A513-G11-150-150-03700,2,2022-07-11 00:30:00.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-TU-A513-G11-150-150-03700""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",46000,
22-0215:010,10,Entered,S-TU-A513-G11-150-150-03700,TUBE 11GA x 1.5 x 1.5 x 37.0,Create S-TU-A513-G11-150-150-03700,1.0000000000000,2.000000000,Create S-TU-A513-G11-150-150-03700,2,2022-07-08 08:40:41.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-TU-A513-G11-150-150-03700""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49077,
22-0216-1:004,10,Entered,S-TU-A513-G11-150-150-03700,TUBE 11GA x 1.5 x 1.5 x 37.0,Create S-TU-A513-G11-150-150-03700,1.0000000000000,2.000000000,Create S-TU-A513-G11-150-150-03700,2,2022-07-06 13:56:15.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-TU-A513-G11-150-150-03700""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49330,
22-0216-1:111,10,Entered,S-SP-GR50-038-09600-0600,PLATE 0.38 x 6.0 x 96.0,Create S-SP-GR50-038-09600-0600,1.0000000000000,1.000000000,Create S-SP-GR50-038-09600-0600,1,2022-07-06 13:56:15.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-FB-GR50-038-600-09600""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49651,
22-0215:029,10,Entered,S-SP-A36-050-01200-1169,PLATE 0.5 x 11.69 x 12.0,Create S-SP-A36-050-01200-1169,1.0000000000000,2.000000000,Create S-SP-A36-050-01200-1169,2,2022-07-08 08:40:41.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-SP-A36-050-01200-1169""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49134,
22-0215:024,10,Entered,S-SP-A36-038-09600-1400,PLATE 0.38 x 14.0 x 96.0,Create S-SP-A36-038-09600-1400,1.0000000000000,1.000000000,Create S-SP-A36-038-09600-1400,1,2022-07-08 08:40:41.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-SP-A36-038-09600-1400""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49119,
22-0215:025,10,Entered,S-SP-A36-025-01100-0600,PLATE 0.25 x 6 x 11,Create S-SP-A36-025-01100-0600,1.0000000000000,1.000000000,Create S-SP-A36-025-01100-0600,1,2022-07-08 08:40:41.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-FB-A36-025-600-01200""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49122,
22-0216-1:069,10,Entered,S-SP-A36-025-00250-0250,PLATE 0.25 x 2.5 x 2.5,Create S-SP-A36-025-00250-0250,1.0000000000000,1.000000000,Create S-SP-A36-025-00250-0250,1,2022-07-06 13:56:15.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-FB-A36-025-250-00250""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49528,
22-0216-1:091,10,Entered,S-SP-A36-025-00250-0250,PLATE 0.25 x 2.5 x 2.5,Create S-SP-A36-025-00250-0250,1.0000000000000,1.000000000,Create S-SP-A36-025-00250-0250,1,2022-07-06 13:56:15.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-FB-A36-025-250-00250""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49592,
22-0216-1:083,10,Entered,S-SP-A36-019-06413-0550,PLATE 0.19 x 5.5 x 64.13,Create S-SP-A36-019-06413-0550,1.0000000000000,1.000000000,Create S-SP-A36-019-06413-0550,1,2022-07-06 13:56:15.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-FB-A36-019-550-06413""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49570,
22-0216-1:105,10,Entered,S-SP-A36-019-06413-0550,PLATE 0.19 x 5.5 x 64.13,Create S-SP-A36-019-06413-0550,1.0000000000000,1.000000000,Create S-SP-A36-019-06413-0550,1,2022-07-06 13:56:15.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-FB-A36-019-550-06413""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49634,
22-0215:044,10,Entered,S-SP-A36-019-03950-0550,PLATE 0.19 x 5.5 x 39.5,Create S-SP-A36-019-03950-0550,1.0000000000000,1.000000000,Create S-SP-A36-019-03950-0550,1,2022-07-08 08:40:41.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-FB-A36-019-550-03950""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49178,
22-0215:069,10,Entered,S-SP-A36-019-03950-0550,PLATE 0.19 x 5.5 x 39.5,Create S-SP-A36-019-03950-0550,1.0000000000000,1.000000000,Create S-SP-A36-019-03950-0550,1,2022-07-08 08:40:41.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-FB-A36-019-550-03950""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49250,
22-0215:079,10,Entered,S-SP-A36-019-00300-0150,PLATE 0.19 x 1.5 x 3.0,Create S-SP-A36-019-00300-0150,1.0000000000000,24.000000000,Create S-SP-A36-019-00300-0150,24,2022-07-08 08:40:41.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-FB-A36-019-150-00300""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49280,
22-0216-1:118,10,Entered,S-SP-A36-019-00300-0150,PLATE 0.19 x 1.5 x 3.0,Create S-SP-A36-019-00300-0150,1.0000000000000,24.000000000,Create S-SP-A36-019-00300-0150,24,2022-07-06 13:56:15.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-FB-A36-019-150-00300""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49672,
22-0216-1:068,10,Entered,S-RT-A519CDS-300-063-00250,ROUND TUBE 3 x 0.63 x 2.5,Create S-RT-A519CDS-300-063-00250,1.0000000000000,1.000000000,Create S-RT-A519CDS-300-063-00250,1,2022-07-06 13:56:15.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-RT-A519CDS-300-063-00250""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49525,
22-0216-1:090,10,Entered,S-RT-A519CDS-300-063-00250,ROUND TUBE 3 x 0.63 x 2.5,Create S-RT-A519CDS-300-063-00250,1.0000000000000,1.000000000,Create S-RT-A519CDS-300-063-00250,1,2022-07-06 13:56:15.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-RT-A519CDS-300-063-00250""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49589,
22-0215:080,10,Entered,S-RD-A36-050-09450,ROUND 0.5 x 94.5,Create S-RD-A36-050-09450,1.0000000000000,1.000000000,Create S-RD-A36-050-09450,1,2022-07-08 08:40:41.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-RD-A36-050-09450""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49283,
22-0216-1:119,10,Entered,S-RD-A36-050-09450,ROUND 0.5 x 94.5,Create S-RD-A36-050-09450,1.0000000000000,1.000000000,Create S-RD-A36-050-09450,1,2022-07-06 13:56:15.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-RD-A36-050-09450""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49675,
22-0216-1:029,10,Entered,S-RD-A36-025-00100,ROUND 0.25 x 1.0,Create S-RD-A36-025-00100,1.0000000000000,2.000000000,Create S-RD-A36-025-00100,2,2022-07-06 13:56:15.0,2.000000000,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-RD-A36-025-00100""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49403,
22-0216-1:048,10,Entered,S-RD-A36-025-00100,ROUND 0.25 x 1.0,Create S-RD-A36-025-00100,1.0000000000000,2.000000000,Create S-RD-A36-025-00100,2,2022-07-06 13:56:15.0,2.000000000,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-RD-A36-025-00100""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49463,
22-0215:007,10,Entered,S-PI-A500B-125-S40-00450,PIPE 1.25 x SCH40 x 4.5,Create S-PI-A500B-125-S40-00450,1.0000000000000,1.000000000,Create S-PI-A500B-125-S40-00450,1,2022-07-08 08:40:41.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-PI-A500B-125-S40-00450""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49069,
22-0216-1:013,10,Entered,S-PI-A500B-125-S40-00450,PIPE 1.25 x SCH40 x 4.5,Create S-PI-A500B-125-S40-00450,1.0000000000000,1.000000000,Create S-PI-A500B-125-S40-00450,1,2022-07-06 13:56:15.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-PI-A500B-125-S40-00450""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49355,
22-0216-1:110,10,Entered,S-FP-GR50-038-09600-6000,FLOOR PLATE 0.38 x 60.0 x 96.0,Create S-FP-GR50-038-09600-6000,1.0000000000000,1.000000000,Create S-FP-GR50-038-09600-6000,1,2022-07-06 13:56:15.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-FP-CQ-038-09600-6000""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49648,
22-0215:027,10,Entered,S-FP-GR50-038-01200-0950,FLOOR PLATE 0.38 x 9.5 x 12.0,Create S-FP-GR50-038-01200-0950,1.0000000000000,2.000000000,Create S-FP-GR50-038-01200-0950,2,2022-07-08 08:40:41.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-FP-CQ-038-01200-0950""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49128,
22-0215:042,10,Entered,S-FB-GR50-063-500-24000,FLAT BAR 0.63 x 5 x 240.0,Create S-FB-GR50-063-500-24000,1.0000000000000,1.000000000,Create S-FB-GR50-063-500-24000,1,2022-07-08 08:40:41.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-FB-GR50-063-450-24000""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49172,
22-0215:067,10,Entered,S-FB-GR50-063-500-24000,FLAT BAR 0.63 x 5 x 240.0,Create S-FB-GR50-063-500-24000,1.0000000000000,1.000000000,Create S-FB-GR50-063-500-24000,1,2022-07-08 08:40:41.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-FB-GR50-063-450-24000""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49244,
22-0216-1:081,10,Entered,S-FB-GR50-063-500-24000,FLAT BAR 0.63 x 5 x 240.0,Create S-FB-GR50-063-500-24000,1.0000000000000,1.000000000,Create S-FB-GR50-063-500-24000,1,2022-07-06 13:56:15.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-FB-GR50-063-450-24000""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49564,
22-0216-1:103,10,Entered,S-FB-GR50-063-500-24000,FLAT BAR 0.63 x 5 x 240.0,Create S-FB-GR50-063-500-24000,1.0000000000000,1.000000000,Create S-FB-GR50-063-500-24000,1,2022-07-06 13:56:15.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-FB-GR50-063-450-24000""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49628,
22-0215:028,10,Entered,S-CH-A36-8X11-01150,CHANNEL 8.0 x 11.5 x 11.5,Create S-CH-A36-8X11-01150,1.0000000000000,2.000000000,Create S-CH-A36-8X11-01150,2,2022-07-08 08:40:41.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-CH-A36-8X11-01150""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49131,
22-0215:026,10,Entered,S-CH-A36-4X7-08394,CHANNEL 4.0 x 7.25 x 83.94,Create S-CH-A36-4X7-08394,1.0000000000000,1.000000000,Create S-CH-A36-4X7-08394,1,2022-07-08 08:40:41.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-CH-A36-4X7-08394""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49125,
22-0215:004,10,Entered,HWK-DME,DME HARDWARE KIT,DME HARDWARE KIT,1.0000000000000,1.000000000,DME HARDWARE KIT,1,2022-07-08 08:40:41.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Weldment""}}",49059,
22-0216-1:014,10,Entered,HWK-DFE,DFE HARDWARE KIT,DFE HARDWARE KIT,1.0000000000000,1.000000000,DFE HARDWARE KIT,1,2022-07-06 13:56:15.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Weldment""}}",49358,
22-0215:013,10,Entered,HRR38T72L14SC,HANDRAIL 38.5T 72L POWDERCOAT,HANDRAIL 38.5T 72L POWDERCOAT,1.0000000000000,4.000000000,HANDRAIL 38.5T 72L POWDERCOAT,4,2022-07-08 08:40:41.0,4.000000000,"{""1"": {""name"": ""Tag"", ""type"": ""Text""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Weldment""}}",49086,
22-0216-1:007,10,Entered,HRR38T72L14SC,HANDRAIL 38.5T 72L POWDERCOAT,HANDRAIL 38.5T 72L POWDERCOAT,1.0000000000000,4.000000000,HANDRAIL 38.5T 72L POWDERCOAT,4,2022-07-06 13:56:15.0,4.000000000,"{""1"": {""name"": ""Tag"", ""type"": ""Text""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Weldment""}}",49339,
22-0215:022,10,Entered,DZ1471-96,FLOOR PLATE 0.38 x 14.5 x 96.0,Create DZ1471-96,1.0000000000000,1.000000000,Create DZ1471-96,1,2022-07-08 08:40:41.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-FP-CQ-038-09600-1450""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49113,
22-0215:035,10,Entered,DZ1470,TUBE 0.38 x 4.0 x 2.0 x 315.25,Create DZ1470,1.0000000000000,1.000000000,Create DZ1470,1,2022-07-08 08:40:41.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-TU-A500B-038-400-200-31525""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49151,
22-0215:060,10,Entered,DZ1470,TUBE 0.38 x 4.0 x 2.0 x 315.25,Create DZ1470,1.0000000000000,1.000000000,Create DZ1470,1,2022-07-08 08:40:41.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-TU-A500B-038-400-200-31525""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49223,
22-0215:043,10,Entered,DZ1469,FLAT BAR 0.63 x 5 x 78.0,Create DZ1469,1.0000000000000,1.000000000,Create DZ1469,1,2022-07-08 08:40:41.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-FB-GR50-063-450-07800""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49175,
22-0215:068,10,Entered,DZ1469,FLAT BAR 0.63 x 5 x 78.0,Create DZ1469,1.0000000000000,1.000000000,Create DZ1469,1,2022-07-08 08:40:41.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-FB-GR50-063-450-07800""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49247,
22-0216-1:082,10,Entered,DZ1469,FLAT BAR 0.63 x 5 x 78.0,Create DZ1469,1.0000000000000,1.000000000,Create DZ1469,1,2022-07-06 13:56:15.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-FB-GR50-063-450-07800""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49567,
22-0216-1:104,10,Entered,DZ1469,FLAT BAR 0.63 x 5 x 78.0,Create DZ1469,1.0000000000000,1.000000000,Create DZ1469,1,2022-07-06 13:56:15.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-FB-GR50-063-450-07800""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49631,
22-0215:036,10,Entered,DZ1468,TUBE 0.38 x 4.0 x 2.0 x 81.88,Create DZ1468,1.0000000000000,1.000000000,Create DZ1468,1,2022-07-08 08:40:41.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-TU-A500B-038-400-200-08188""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49154,
22-0215:061,10,Entered,DZ1468,TUBE 0.38 x 4.0 x 2.0 x 81.88,Create DZ1468,1.0000000000000,1.000000000,Create DZ1468,1,2022-07-08 08:40:41.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-TU-A500B-038-400-200-08188""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49226,
22-0216-1:075,10,Entered,DZ1468,TUBE 0.38 x 4.0 x 2.0 x 81.88,Create DZ1468,1.0000000000000,1.000000000,Create DZ1468,1,2022-07-06 13:56:15.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-TU-A500B-038-400-200-08188""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49546,
22-0216-1:097,10,Entered,DZ1468,TUBE 0.38 x 4.0 x 2.0 x 81.88,Create DZ1468,1.0000000000000,1.000000000,Create DZ1468,1,2022-07-06 13:56:15.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-TU-A500B-038-400-200-08188""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49610,
22-0216-1:074,10,Entered,DZ1467,TUBE 0.38 x 4.0 x 2.0 x 351.25,Create DZ1467,1.0000000000000,1.000000000,Create DZ1467,1,2022-07-06 13:56:15.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-TU-A500B-038-400-200-35125""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49543,
22-0216-1:096,10,Entered,DZ1467,TUBE 0.38 x 4.0 x 2.0 x 351.25,Create DZ1467,1.0000000000000,1.000000000,Create DZ1467,1,2022-07-06 13:56:15.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-TU-A500B-038-400-200-35125""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49607,
22-0215:009,10,Entered,DZ1370-T72,TUBE 11GA x 1.5 x 1.5 x 149.07,Create DZ1370-T72,1.0000000000000,2.000000000,Create DZ1370-T72,2,2022-07-08 08:40:41.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-TU-A513-G11-150-150-14907""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49074,
22-0216-1:003,10,Entered,DZ1370-T72,TUBE 11GA x 1.5 x 1.5 x 149.07,Create DZ1370-T72,1.0000000000000,2.000000000,Create DZ1370-T72,2,2022-07-06 13:56:15.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-TU-A513-G11-150-150-14907""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49327,
